Groups, Dataset Name, Size,Shape,Type
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/PublishedSettings/gain,gain,1,"(1,)",int64
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/PublishedSettings/triggerMode,triggerMode,1,"(1,)",|S2
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/beamIntensity,beamIntensity,1,"(1,)",float64
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/beamSize,beamSize,1,"(1,)",float64
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/cogX,cogX,1,"(1,)",float64
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/cogY,cogY,1,"(1,)",float64
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/height,height,1,"(1,)",int32
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/horProjAmp,horProjAmp,1,"(1,)",float64
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/horProjAvg,horProjAvg,1,"(1,)",float64
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/horProjSigma,horProjSigma,1,"(1,)",float64
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/horProjection,horProjection,1600,"(1600,)",float64
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/imageRawData,imageRawData,1920000,"(1200, 1600)",int16
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/imageTimeStamp,imageTimeStamp,1,"(1,)",int64
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/intensityAvg,intensityAvg,1,"(1,)",float64
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/intensityHistogram,intensityHistogram,1000,"(1000,)",int32
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/intensityRMS,intensityRMS,1,"(1,)",float64
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/intensitySigma,intensitySigma,1,"(1,)",float64
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/pixelSize,pixelSize,1,"(1,)",float64
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/verProjAmp,verProjAmp,1,"(1,)",float64
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/verProjAvg,verProjAvg,1,"(1,)",float64
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/verProjSigma,verProjSigma,1,"(1,)",float64
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/verProjection,verProjection,1200,"(1200,)",float64
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/width,width,1,"(1,)",int32
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/PublishedSettings/delayTime,delayTime,1,"(1,)",float64
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/PublishedSettings/exposureTime,exposureTime,1,"(1,)",float64
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/PublishedSettings/gain,gain,1,"(1,)",int64
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/PublishedSettings/triggerMode,triggerMode,1,"(1,)",|S2
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/beamIntensity,beamIntensity,1,"(1,)",float64
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/beamSize,beamSize,1,"(1,)",float64
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/cogX,cogX,1,"(1,)",float64
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/cogY,cogY,1,"(1,)",float64
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/height,height,1,"(1,)",int32
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/horProjAmp,horProjAmp,1,"(1,)",float64
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/horProjAvg,horProjAvg,1,"(1,)",float64
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/horProjSigma,horProjSigma,1,"(1,)",float64
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/horProjection,horProjection,1280,"(1280,)",float64
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/imageRawData,imageRawData,1228800,"(960, 1280)",int16
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/imageTimeStamp,imageTimeStamp,1,"(1,)",int64
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/intensityAvg,intensityAvg,1,"(1,)",float64
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/intensityHistogram,intensityHistogram,1000,"(1000,)",int32
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/intensityRMS,intensityRMS,1,"(1,)",float64
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/intensitySigma,intensitySigma,1,"(1,)",float64
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/pixelSize,pixelSize,1,"(1,)",float64
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/verProjAmp,verProjAmp,1,"(1,)",float64
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/verProjAvg,verProjAvg,1,"(1,)",float64
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/verProjSigma,verProjSigma,1,"(1,)",float64
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/verProjection,verProjection,960,"(960,)",float64
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/width,width,1,"(1,)",int32
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/PublishedSettings/delayTime,delayTime,1,"(1,)",float64
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/PublishedSettings/exposureTime,exposureTime,1,"(1,)",float64
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/PublishedSettings/gain,gain,1,"(1,)",int64
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/PublishedSettings/triggerMode,triggerMode,1,"(1,)",|S2
AwakeEventData/BPM.AWAKE.TT41/Acquisition/bpmNames,bpmNames,32,"(32,)",|S15
AwakeEventData/BPM.AWAKE.TT41/Acquisition/dynDestination,dynDestination,1,"(1,)",|S5
AwakeEventData/BPM.AWAKE.TT41/Acquisition/horPosOk,horPosOk,0,"(0,)"
AwakeEventData/BPM.AWAKE.TT41/Acquisition/horPosition,horPosition,32,"(32,)",float32
AwakeEventData/BPM.AWAKE.TT41/Acquisition/nbOfBpms,nbOfBpms,1,"(1,)",int16
AwakeEventData/BPM.AWAKE.TT41/Acquisition/verPosOk,verPosOk,0,"(0,)"
AwakeEventData/BPM.AWAKE.TT41/Acquisition/verPosition,verPosition,32,"(32,)",float32
AwakeEventData/BTV.TT41.412354_FILTER/Acquisition/position,position,1,"(1,)",int32
AwakeEventData/BTV.TT41.412426_FWHEEL/Acquisition/position,position,1,"(1,)",int32
AwakeEventData/BTV.TT41.412426_MASK_H/Acquisition/position,position,1,"(1,)",int32
AwakeEventData/BTV.TT41.412426_MASK_V/Acquisition/position,position,1,"(1,)",int32
AwakeEventData/BTV.TT41.412442_FWHEEL/Acquisition/position,position,1,"(1,)",int32
AwakeEventData/BTV.TT41.412442_MASK_H/Acquisition/position,position,1,"(1,)",int32
AwakeEventData/BTV.TT41.412442_MASK_V/Acquisition/position,position,1,"(1,)",int32
AwakeEventData/EMETER02/Acq/outOfRange,outOfRange,1,(),bool
AwakeEventData/EMETER02/Acq/value,value,1,"(1,)",float32
AwakeEventData/EMETER02/Acq/value_units,value_units,1,"(1,)",|S1
AwakeEventData/EMETER03/Acq/outOfRange,outOfRange,1,(),bool
AwakeEventData/EMETER03/Acq/value,value,1,"(1,)",float32
AwakeEventData/EMETER03/Acq/value_units,value_units,1,"(1,)",|S1
AwakeEventData/EMETER04/Acq/outOfRange,outOfRange,1,(),bool
AwakeEventData/EMETER04/Acq/value,value,1,"(1,)",float32
AwakeEventData/EMETER04/Acq/value_units,value_units,1,"(1,)",|S1
AwakeEventData/EMETER05/Acq/outOfRange,outOfRange,1,(),bool
AwakeEventData/EMETER05/Acq/value,value,1,"(1,)",float32
AwakeEventData/EMETER05/Acq/value_units,value_units,1,"(1,)",|S1
AwakeEventData/FWHEEL01/Acq/backWheelPositionDescription,backWheelPositionDescription,1,"(1,)",|S6
AwakeEventData/FWHEEL01/Acq/frontWheelPositionDescription,frontWheelPositionDescription,1,"(1,)",|S6
AwakeEventData/FWHEEL01/Acq/status,status,1,"(1,)",int32
AwakeEventData/GD_BPM.AWAKE.TRIUMF/AcquisitionSPS/bpmNames,bpmNames,14,"(14,)",|S18
AwakeEventData/GD_BPM.AWAKE.TRIUMF/AcquisitionSPS/horPos,horPos,14,"(14,)",float32
AwakeEventData/GD_BPM.AWAKE.TRIUMF/AcquisitionSPS/nbOfBpms,nbOfBpms,1,"(1,)",int32
AwakeEventData/GD_BPM.AWAKE.TRIUMF/AcquisitionSPS/posOK,posOK,1,"(1,)"
AwakeEventData/GD_BPM.AWAKE.TRIUMF/AcquisitionSPS/sigma,sigma,14,"(14,)",int32
AwakeEventData/GD_BPM.AWAKE.TRIUMF/AcquisitionSPS/verPos,verPos,14,"(14,)",float32
AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/bpmNames,bpmNames,14,"(14,)",|S18
AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/horPos,horPos,14,"(14,)",float32
AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/horPosSelected,horPosSelected,14,"(14,)",float32
AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/nbOfBpms,nbOfBpms,1,"(1,)",int32
AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/posOK,posOK,1,"(1,)"
AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/posOkSelected,posOkSelected,0,"(0,)"
AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/sigma,sigma,14,"(14,)",float32
AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/sigmaSelected,sigmaSelected,14,"(14,)",int32
AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/verPos,verPos,14,"(14,)",float32
AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/verPosSelected,verPosSelected,14,"(14,)",float32
AwakeEventData/LSSE2/Acq/position,position,1,"(1,)",int32
AwakeEventData/LSSP2/Acq/position,position,1,"(1,)",int32
AwakeEventData/MPP-TSG41-MIRROR1-H/Acquisition/position,position,1,"(1,)",int32
AwakeEventData/MPP-TSG41-MIRROR1-V/Acquisition/position,position,1,"(1,)",int32
AwakeEventData/MPP-TSG41-WHEEL1-BI/Acquisition/position,position,1,"(1,)",int32
AwakeEventData/MPP-VACTRANS-CTR/Acquisition/mmPosition,mmPosition,1,"(1,)",float64
AwakeEventData/MPP-VACTRANS-CTR/Acquisition/position,position,1,"(1,)",int32
AwakeEventData/MPP-VACTRANS-CTR/Acquisition/stepperBusy,stepperBusy,1,(),bool
AwakeEventData/MPP-VACTRANS-CTR/Acquisition/switchIn,switchIn,1,(),bool
AwakeEventData/MPP-VACTRANS-CTR/Acquisition/switchOut,switchOut,1,(),bool
AwakeEventData/MPP-VACTRANS-OTR/Acquisition/mmPosition,mmPosition,1,"(1,)",float64
AwakeEventData/MPP-VACTRANS-OTR/Acquisition/position,position,1,"(1,)",int32
AwakeEventData/MPP-VACTRANS-OTR/Acquisition/stepperBusy,stepperBusy,1,(),bool
AwakeEventData/MPP-VACTRANS-OTR/Acquisition/switchIn,switchIn,1,(),bool
AwakeEventData/MPP-VACTRANS-OTR/Acquisition/switchOut,switchOut,1,(),bool
AwakeEventData/MPPAWAKE-STANDA-08.AXIS01/Movement/leftLimitSwitchReached,leftLimitSwitchReached,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-08.AXIS01/Movement/position,position,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-08.AXIS01/Movement/rightLimitSwitchReached,rightLimitSwitchReached,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-08.AXIS02/Movement/leftLimitSwitchReached,leftLimitSwitchReached,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-08.AXIS02/Movement/position,position,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-08.AXIS02/Movement/rightLimitSwitchReached,rightLimitSwitchReached,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-08.AXIS03/Movement/leftLimitSwitchReached,leftLimitSwitchReached,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-08.AXIS03/Movement/position,position,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-08.AXIS03/Movement/rightLimitSwitchReached,rightLimitSwitchReached,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-08.AXIS04/Movement/leftLimitSwitchReached,leftLimitSwitchReached,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-08.AXIS04/Movement/position,position,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-08.AXIS04/Movement/rightLimitSwitchReached,rightLimitSwitchReached,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-08.AXIS09/Movement/leftLimitSwitchReached,leftLimitSwitchReached,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-08.AXIS09/Movement/position,position,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-08.AXIS09/Movement/rightLimitSwitchReached,rightLimitSwitchReached,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-08.AXIS10/Movement/leftLimitSwitchReached,leftLimitSwitchReached,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-08.AXIS10/Movement/position,position,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-08.AXIS10/Movement/rightLimitSwitchReached,rightLimitSwitchReached,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-08.AXIS11/Movement/leftLimitSwitchReached,leftLimitSwitchReached,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-08.AXIS11/Movement/position,position,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-08.AXIS11/Movement/rightLimitSwitchReached,rightLimitSwitchReached,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-08.AXIS12/Movement/leftLimitSwitchReached,leftLimitSwitchReached,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-08.AXIS12/Movement/position,position,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-08.AXIS12/Movement/rightLimitSwitchReached,rightLimitSwitchReached,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS01/Movement/leftLimitSwitchReached,leftLimitSwitchReached,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS01/Movement/position,position,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS01/Movement/rightLimitSwitchReached,rightLimitSwitchReached,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS02/Movement/leftLimitSwitchReached,leftLimitSwitchReached,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS02/Movement/position,position,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS02/Movement/rightLimitSwitchReached,rightLimitSwitchReached,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS03/Movement/leftLimitSwitchReached,leftLimitSwitchReached,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS03/Movement/position,position,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS03/Movement/rightLimitSwitchReached,rightLimitSwitchReached,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS04/Movement/leftLimitSwitchReached,leftLimitSwitchReached,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS04/Movement/position,position,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS04/Movement/rightLimitSwitchReached,rightLimitSwitchReached,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS05/Movement/leftLimitSwitchReached,leftLimitSwitchReached,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS05/Movement/position,position,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS05/Movement/rightLimitSwitchReached,rightLimitSwitchReached,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS06/Movement/leftLimitSwitchReached,leftLimitSwitchReached,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS06/Movement/position,position,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS06/Movement/rightLimitSwitchReached,rightLimitSwitchReached,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS07/Movement/leftLimitSwitchReached,leftLimitSwitchReached,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS07/Movement/position,position,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS07/Movement/rightLimitSwitchReached,rightLimitSwitchReached,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS08/Movement/leftLimitSwitchReached,leftLimitSwitchReached,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS08/Movement/position,position,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS08/Movement/rightLimitSwitchReached,rightLimitSwitchReached,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS09/Movement/leftLimitSwitchReached,leftLimitSwitchReached,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS09/Movement/position,position,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS09/Movement/rightLimitSwitchReached,rightLimitSwitchReached,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS10/Movement/leftLimitSwitchReached,leftLimitSwitchReached,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS10/Movement/position,position,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS10/Movement/rightLimitSwitchReached,rightLimitSwitchReached,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS11/Movement/leftLimitSwitchReached,leftLimitSwitchReached,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS11/Movement/position,position,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS11/Movement/rightLimitSwitchReached,rightLimitSwitchReached,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS12/Movement/leftLimitSwitchReached,leftLimitSwitchReached,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS12/Movement/position,position,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS12/Movement/rightLimitSwitchReached,rightLimitSwitchReached,1,(),|S128
AwakeEventData/PMOTOR01/Acquisition/position,position,1,"(1,)",int32
AwakeEventData/PMOTOR02/Acquisition/position,position,1,"(1,)",int32
AwakeEventData/PMOTOR03/Acquisition/position,position,1,"(1,)",int32
AwakeEventData/PMOTOR04/Acquisition/position,position,1,"(1,)",int32
AwakeEventData/PMOTOR05/Acquisition/position,position,1,"(1,)",int32
AwakeEventData/PMOTOR06/Acquisition/position,position,1,"(1,)",int32
AwakeEventData/PMOTOR13/Acquisition/position,position,1,"(1,)",int32
AwakeEventData/PMOTOR14/Acquisition/position,position,1,"(1,)",int32
AwakeEventData/PMOTOR15/Acquisition/position,position,1,"(1,)",int32
AwakeEventData/PMOTOR16/Acquisition/position,position,1,"(1,)",int32
AwakeEventData/Plunger.412401/StartCounterSt/value,value,1,"(1,)",int32
AwakeEventData/Plunger.412401/State/value,value,1,"(1,)",int16
AwakeEventData/Plunger.412422/StartCounterSt/value,value,1,"(1,)",int32
AwakeEventData/Plunger.412422/State/value,value,1,"(1,)",int16
AwakeEventData/RADMON.AWAKE-1/Acquisition/SEUType1,SEUType1,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-1/Acquisition/SEUType2,SEUType2,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-1/Acquisition/cumBank1HadronFluence,cumBank1HadronFluence,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-1/Acquisition/cumBank1MBUCounts,cumBank1MBUCounts,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-1/Acquisition/cumBank1SEUCounts,cumBank1SEUCounts,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-1/Acquisition/cumBank2HadronFluence,cumBank2HadronFluence,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-1/Acquisition/cumBank2MBUCounts,cumBank2MBUCounts,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-1/Acquisition/cumBank2SEUCounts,cumBank2SEUCounts,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-1/Acquisition/cumNeutronFluence,cumNeutronFluence,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-1/Acquisition/cumTID1,cumTID1,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-1/Acquisition/cumTID2,cumTID2,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-1/Acquisition/lPar1,lPar1,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-1/Acquisition/lPar2,lPar2,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-1/Acquisition/lPar3,lPar3,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-1/Acquisition/lParType,lParType,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-1/Acquisition/pinDiodeType,pinDiodeType,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-1/Acquisition/radfet1Type,radfet1Type,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-1/Acquisition/radfet2Type,radfet2Type,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-1/Acquisition/radmonStatus,radmonStatus,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-1/Acquisition/revisionNumber,revisionNumber,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-1/Acquisition/revisionType,revisionType,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-2/Acquisition/SEUType1,SEUType1,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-2/Acquisition/SEUType2,SEUType2,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-2/Acquisition/cumBank1HadronFluence,cumBank1HadronFluence,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-2/Acquisition/cumBank1MBUCounts,cumBank1MBUCounts,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-2/Acquisition/cumBank1SEUCounts,cumBank1SEUCounts,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-2/Acquisition/cumBank2HadronFluence,cumBank2HadronFluence,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-2/Acquisition/cumBank2MBUCounts,cumBank2MBUCounts,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-2/Acquisition/cumBank2SEUCounts,cumBank2SEUCounts,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-2/Acquisition/cumNeutronFluence,cumNeutronFluence,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-2/Acquisition/cumTID1,cumTID1,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-2/Acquisition/cumTID2,cumTID2,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-2/Acquisition/lPar1,lPar1,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-2/Acquisition/lPar2,lPar2,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-2/Acquisition/lPar3,lPar3,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-2/Acquisition/lParType,lParType,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-2/Acquisition/pinDiodeType,pinDiodeType,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-2/Acquisition/radfet1Type,radfet1Type,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-2/Acquisition/radfet2Type,radfet2Type,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-2/Acquisition/radmonStatus,radmonStatus,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-2/Acquisition/revisionNumber,revisionNumber,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-2/Acquisition/revisionType,revisionType,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-3/Acquisition/SEUType1,SEUType1,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-3/Acquisition/SEUType2,SEUType2,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-3/Acquisition/cumBank1HadronFluence,cumBank1HadronFluence,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-3/Acquisition/cumBank1MBUCounts,cumBank1MBUCounts,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-3/Acquisition/cumBank1SEUCounts,cumBank1SEUCounts,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-3/Acquisition/cumBank2HadronFluence,cumBank2HadronFluence,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-3/Acquisition/cumBank2MBUCounts,cumBank2MBUCounts,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-3/Acquisition/cumBank2SEUCounts,cumBank2SEUCounts,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-3/Acquisition/cumNeutronFluence,cumNeutronFluence,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-3/Acquisition/cumTID1,cumTID1,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-3/Acquisition/cumTID2,cumTID2,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-3/Acquisition/lPar1,lPar1,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-3/Acquisition/lPar2,lPar2,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-3/Acquisition/lPar3,lPar3,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-3/Acquisition/lParType,lParType,1,"(1,)",float64
AwakeEventData/RADMON.AWAKE-3/Acquisition/pinDiodeType,pinDiodeType,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-3/Acquisition/radfet1Type,radfet1Type,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-3/Acquisition/radfet2Type,radfet2Type,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-3/Acquisition/radmonStatus,radmonStatus,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-3/Acquisition/revisionNumber,revisionNumber,1,"(1,)",int32
AwakeEventData/RADMON.AWAKE-3/Acquisition/revisionType,revisionType,1,"(1,)",int32
AwakeEventData/RPADA.BB4.RQNI.412432/MEAS.I,MEAS.I,1,"(1,)",float32
AwakeEventData/RPADA.BB4.RQNI.412432/REF.I,REF.I,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBH.412344/Acquisition/currentAverage,currentAverage,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBH.412345/Acquisition/currentAverage,currentAverage,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBH.412347/Acquisition/currentAverage,currentAverage,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBH.412349/Acquisition/currentAverage,currentAverage,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBH.412353/Acquisition/currentAverage,currentAverage,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBH.430011/Acquisition/currentAverage,currentAverage,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBH.430029/Acquisition/currentAverage,currentAverage,1,"(1,)",float32
